    time,seconds_elapsed,z,y,x
    1767620467350470700,0.143470703125,1.0659598112106323,0.18570303916931152,0.10445795953273773
    1767620467390576600,0.18357666015625,0.9059131741523743,-0.19547687470912933,-0.5619960427284241
1767620467430668500,0.22366845703125,1.3799445629119873,0.5699372887611389,-0.4801400899887085
1767620467470800400,0.26380029296875,1.9077321290969849,0.5742133259773254,-0.8203920125961304
1767620467510886400,0.303886474609375,1.2131783962249756,1.5741997957229614,-1.681712031364441
1767620467550977300,0.343977294921875,0.07757988572120667,0.4795292317867279,-0.3689626157283783
1767620467591065000,0.384065185546875,0.2272418737411499,0.5992587804794312,-0.8509352803230286
1767620467631190300,0.424190185546875,0.1215621829032898,1.4691308736801147,-0.9327912330627441
1767620467671285500,0.464285400390625,-0.9474520087242126,1.3738359212875366,-0.5638286471366882
1767620467711387400,0.504387451171875,-0.045204028487205505,-0.22052235901355743,-0.6139195561408997
1767620467751480600,0.54448046875,-0.02015855349600315,0.6041457056999207,-0.9065240025520325
1767620467771574000,0.564573974609375,-0.2217440903186798,0.8710938692092896,-0.6792821288108826
1767620467791586000,0.5845859375,-0.22296582162380219,0.484416127204895,-0.4691445231437683
1767620467831696400,0.6246962890625,-0.22418753802776337,0.598647952079773,-0.588874101638794
1767620467871804700,0.6648046875,0.01466076634824276,1.19912850856781,-0.6438519954681396
1767620467911912700,0.70491259765625,0.4538728892803192,1.7171422243118286,-0.799011766910553
1767620467952001800,0.745001708984375,0.2070833146572113,1.0115928649902344,0.1466076523065567
1767620467992096000,0.785095947265625,0.11789698898792267,0.34636059403419495,-0.1007927656173706
1767620468032195300,0.8251953125,0.06719517707824707,0.5320636034011841,-0.3274237811565399
1767620468052273700,0.845273681640625,0.07819075137376785,0.5204572081565857,-0.4129449129104614
1767620468072285400,0.865285400390625,-0.3023782968521118,0.35185837745666504,-0.3988949954509735
1767620468112375300,0.905375244140625,-0.5907067060470581,0.4746423065662384,-0.3933972120285034
1767620468152448800,0.94544873046875,-0.7757988572120667,0.5534439086914062,-0.11728613078594208
1767620468172534300,0.9655341796875,-1.0708467960357666,1.2858713865280151,-0.028099801391363144
1767620468192541400,0.98554150390625,-1.387274980545044,2.3408355712890625,0.1869247704744339
