time,seconds_elapsed_x,accel_z,accel_y,accel_x,seconds_elapsed_y,gyro_z,gyro_y,gyro_x,accel_x_smooth,accel_y_smooth,accel_z_smooth,gyro_x_smooth,gyro_y_smooth,gyro_z_smooth
1767620512173074700,44.96607470703125,-3.7873921394348145,1.0908493995666504,0.5575008392333984,44.9663662109375,-0.0708603709936142,-0.403781920671463,0.618195652961731,-0.14047891497612,1.3270671367645264,-2.8039834976196287,0.506162965297699,-0.5992588073015213,-0.04080579876899728
1767620512213183000,45.00618286132813,-2.0179057121276855,1.1689443588256836,-0.5419202446937561,45.00647509765625,0.1380555480718612,-0.1563815027475357,-0.475253164768219,0.13032053112983705,0.3979611396789551,-2.399684715270996,-0.25338689088821414,-0.2508212596178055,0.031520646810531516
1767620512253264100,45.04626416015625,2.0521836280822754,-0.2932925224304199,-1.2648152112960815,45.04655541992187,0.2278527319431305,0.2773328125476837,-1.1905763149261477,-0.09276655912399293,0.7329453468322754,-2.2184305667877195,-0.9865473628044128,0.23396138846874237,0.04361577928066244
1767620512333457200,45.12645703125,-3.3457999229431152,-0.8739175796508789,2.1952269077301025,45.12674951171875,0.0928515195846557,0.1936442852020263,-1.6957619190216064,0.1555543303489685,-0.4955251693725586,-1.3293587207794189,-1.57065669298172,0.5054299026727677,0.027000245451927096
1767620512373533400,45.16653344726563,-3.993238687515259,2.572143077850342,-1.409825086593628,45.16682470703125,-0.1698205322027206,1.2589932680130005,-2.1893410682678223,0.4017277717590332,-0.8510356903076172,-1.4929083347320558,-1.9822576999664308,0.8625417172908783,-0.018814648687839587
1767620512413610500,45.206610595703125,0.6579670906066895,-5.0515031814575195,1.7991052865982056,45.206902587890625,-0.1539380401372909,0.9535606503486632,-2.3023509979248047,0.7368120372295379,-0.9494982719421386,-2.327306127548218,-2.245662784576416,1.108598244190216,-0.15601498037576683
1767620512453695700,45.24669580078125,-2.835653781890869,-0.6086082458496094,0.6889469623565674,45.24698681640625,-0.0910189226269722,1.6291775703430176,-2.5332581996917725,-0.023431068658828734,-0.7152979850769043,-1.9422371149063111,-2.372234058380127,1.183734667301178,-0.28173104673624044
1767620512493773300,45.28677319335937,-2.119805335998535,-0.7856054306030273,0.4106061160564422,45.28706469726563,-0.4581489264965057,1.5076154470443726,-2.507601737976074,0.4385214865207672,-0.6347994804382324,-1.2164446592330933,-2.405098581314087,1.1275350689888,-0.32644638270139703
1767620512533867000,45.32686694335938,-1.4204548597335815,0.2970838546752929,-1.605988621711731,45.32715771484375,-0.5357288122177124,0.5693264007568359,-2.328618288040161,-0.2608627021312714,0.6957610130310059,-1.2401245832443237,-2.335948657989502,1.1342545866966247,-0.3998723819851876
1767620512573953300,45.366953369140624,-0.3642764091491699,2.974635601043701,0.8999376893043518,45.3672451171875,-0.3933972120285034,0.9779952764511108,-2.353663682937622,-0.8891906917095185,0.8282219886779785,-0.48934593200683596,-2.134973978996277,0.9711535692214965,-0.4713436126708985
1767620512614060500,45.407060546875,0.5395674705505371,1.601299285888672,-1.6978156566619873,45.40735229492188,-0.5210680365562439,0.9871582388877868,-1.95660138130188,-1.3796709179878235,1.2394867897033692,0.11555352210998533,-1.9100534200668335,0.7757988572120667,-0.4418999075889588
1767620512654133000,45.447133056640624,0.9182394742965698,0.0536966323852539,-2.452692985534668,45.44742431640625,-0.4483750760555267,0.8136724829673767,-1.528384804725647,-1.2432079434394836,1.5486509323120117,0.6428912878036499,-1.6748703002929688,0.7257079064846039,-0.36871825158596044
1767620512674175500,45.46717553710938,0.9046919345855712,1.2707185745239258,-2.041795015335083,45.46751220703125,-0.3109304010868072,0.5308418869972229,-1.3829989433288574,-1.5072517275810242,0.9925177574157715,0.9632932186126709,-1.3627181768417358,0.6064670085906982,-0.34990360438823703
1767620512694239200,45.4872392578125,1.2162339687347412,1.842904567718506,-0.9236737489700316,45.48753076171875,-0.1698205322027206,0.3188716471195221,-1.1527026891708374,-1.4534044861793518,0.614480495452881,1.0068325042724608,-1.076466727256775,0.45045202374458315,-0.3119077891111374
1767620512734335500,45.52733544921875,1.237733244895935,0.1939697265625,-0.4202812314033508,45.52762744140625,-0.2993239760398865,0.3817907869815826,-0.7929030656814575,-1.2417852759361268,0.48854436874389656,0.9817327857017517,-0.8354193091392517,0.2807536631822586,-0.27330110967159277
1767620512774446300,45.5674462890625,0.7572638988494873,-0.2888870239257812,-1.4285794496536257,45.56773754882813,-0.3310889601707458,0.2070833146572113,-0.5253441333770752,-0.96797856092453,-0.04339361190795894,1.0919809937477112,-0.6190508365631103,0.18655824437737464,-0.2572964429855348
1767620512814544600,45.607544677734374,0.7927408814430237,-0.575984001159668,-1.3945969343185425,45.60783618164062,-0.2553416788578033,-0.0348193198442459,-0.323147714138031,-1.094813048839569,-0.7659996032714844,1.1896802067756653,-0.46401324272155764,0.12779300995171067,-0.25106561779975894
1767620512854646000,45.64764599609375,1.4559329748153689,-1.3889713287353516,-0.6727614402770996,45.64793774414063,-0.230907067656517,0.0598647929728031,-0.3011565804481506,-1.2215096950531006,-1.3150222778320313,1.2708364129066467,-0.39058724641799925,0.061697388812899566,-0.19278907217085367
1767620512894743000,45.687742919921874,1.7047300338745115,-1.770125389099121,-1.557846188545227,45.68803466796875,-0.1386664062738418,0.0250454749912023,-0.3775147199630737,-1.2179431438446044,-1.9421791076660155,1.5463643670082092,-0.355157059431076,0.022968532890081363,-0.1330464515835047
1767620512914792200,45.707792236328125,1.6435142755508425,-2.5511436462402344,-1.0537644624710083,45.70812841796875,-0.0079412478953599,0.051312681287527,-0.4257730841636657,-1.400617527961731,-2.951283645629883,1.8857008457183837,-0.3026226483285427,0.010140363126993143,-0.1122770313173533
1767620512934834200,45.727834228515626,2.1349036693573,-3.424671173095703,-1.410746693611145,45.72812573242187,-0.0323758572340011,0.0134390350431203,-0.3481931984424591,-1.4759467363357544,-4.006020164489746,2.0501368284225463,-0.17629571184515952,-0.04886921942234042,-0.07428121231496336
1767620512954867000,45.74786694335938,2.4894232749938965,-5.621506690979004,-2.307968854904175,45.7482041015625,-0.1514945775270462,-0.098960168659687,-0.0604756586253643,-0.7964343070983887,-4.749945259094238,2.257544493675232,0.13891074433922768,-0.18301522247493268,-0.042149701341986714
1767620512974905900,45.76790576171875,2.2781128883361816,-6.662653923034668,-1.0494074821472168,45.768197265625,-0.0409279726445674,-0.2351831197738647,0.3304781019687652,-0.6552627563476563,-5.055970764160156,2.4070945262908934,0.6491054154932498,-0.23017402030527587,0.02553416863083831
