datetime,time,seconds_elapsed,z,y,x
2026-01-05 13:54:05.457,1.767621245461099e+18,0.10909912109375,-0.0006108652451075,0.0006108652451075,0.0018325957935303
2026-01-05 13:54:05.490,1.7676212455012078e+18,0.149207763671875,-0.0012217305193189,0.0009162978676613,0.0024434609804302
2026-01-05 13:54:05.523,1.7676212455413164e+18,0.18931640625,-0.0006108652451075,0.0006108652451075,0.0030543261673301
2026-01-05 13:54:05.556,1.7676212455814295e+18,0.229429443359375,-0.0006108652451075,0.0006108652451075,0.0030543261673301
2026-01-05 13:54:05.589,1.7676212456215444e+18,0.26954443359375,0.0006108652451075,0.0006108652451075,0.0030543261673301
2026-01-05 13:54:05.622,1.7676212456416038e+18,0.28960383757134534,0.0006108652451075,0.0006108652451075,0.0030543261673301
2026-01-05 13:54:05.655,1.767621245661663e+18,0.3096630859375,0.0006108652451075,0.0006108652451075,0.0021380247746545433
2026-01-05 13:54:05.688,1.767621245701786e+18,0.3497861328125,0.0006108652451075,0.0006108652451075,0.0012217304902151
2026-01-05 13:54:05.721,1.7676212457419108e+18,0.389910888671875,-0.0006108652451075,0.0012217281499066741,0.0012217304902151
2026-01-05 13:54:05.754,1.7676212457820262e+18,0.430026123046875,-0.0012217304902151,0.0012217281499066741,0.0012217304902151
2026-01-05 13:54:05.787,1.767621245802084e+18,0.4500840621750385,-0.0015271619571665305,0.0006108652451075,0.0012217304902151
2026-01-05 13:54:05.820,1.767621245822142e+18,0.470141845703125,-0.0015271619571665305,0.0006108652451075,0.0012217304902151
2026-01-05 13:54:05.853,1.767621245862252e+18,0.510251953125,-0.0012217304902151,0.0006108652451075,0.0018325957935303
2026-01-05 13:54:05.886,1.7676212459023613e+18,0.550361328125,-0.0012217304902151,0.0006108652451075,0.0018325957935303
2026-01-05 13:54:05.919,1.7676212459424773e+18,0.590477294921875,-0.00030543262255375,0.0003054338072598065,0.0018325957935303
2026-01-05 13:54:05.952,1.7676212459825994e+18,0.630599365234375,-0.00030543262255375,0.0003054326225538,0.0018325957935303
2026-01-05 13:54:05.985,1.7676212460026583e+18,0.650658203125,-0.0006108652451075,0.0006108652451075,0.0018325957935303
2026-01-05 13:54:06.018,1.767621246022717e+18,0.670717041015625,-0.00030543262255375,0.0003054326225538,0.0018325957353226498
2026-01-05 13:54:06.051,1.7676212460628316e+18,0.71083154296875,-0.00030543262255375,0.0003054326225538,0.0018325957353226498
2026-01-05 13:54:06.084,1.767621246102928e+18,0.750927978515625,0.0009162966829552434,0.0006108628756954368,0.0015271690071952198
2026-01-05 13:54:06.117,1.7676212461430474e+18,0.79104736328125,0.0009162966829552434,0.0006108628756954368,0.0015271690071952198
2026-01-05 13:54:06.150,1.7676212461631078e+18,0.8111077438251332,0.0009162966829552434,0.0006108628756954368,0.0015271690071952198
2026-01-05 13:54:06.183,1.767621246183168e+18,0.83116796875,0.0006108652451075,0.0006108628756954368,0.0024434609804302
2026-01-05 13:54:06.216,1.7676212462232934e+18,0.87129345703125,-0.0006108652451075,0.0006108628756954368,0.0024434609804302
2026-01-05 13:54:06.249,1.767621246263416e+18,0.911416015625,-0.0006108652451075,0.0018325957935303,0.0024434609804302
2026-01-05 13:54:06.282,1.7676212463035325e+18,0.951532470703125,-0.0006108652451075,0.0018325957935303,0.0024434609804302
2026-01-05 13:54:06.315,1.7676212463436536e+18,0.991653564453125,0.0,0.001069014208042025,0.0024434609804302
2026-01-05 13:54:06.348,1.7676212463687455e+18,1.01674560546875,0.0,0.001069014208042025,0.0024434609804302
2026-01-05 13:54:06.381,1.7676212463938376e+18,1.041837646484375,0.0006108652451075,0.001069014208042025,0.0024434609804302
2026-01-05 13:54:06.414,1.7676212464239155e+18,1.07191552734375,0.0,0.001069014208042025,0.0024434609804302
2026-01-05 13:54:06.447,1.767621246464041e+18,1.112041015625,0.0,0.0012217304902151,0.0024434609804302
2026-01-05 13:54:06.480,1.7676212465041587e+18,1.15215869140625,0.0,0.0012217304902151,0.0027488935738801496
2026-01-05 13:54:06.513,1.7676212465442772e+18,1.19227734375,0.0,0.0018325957935303,0.0027488935738801496
2026-01-05 13:54:06.546,1.7676212465643827e+18,1.2123828125,-0.0006108652451075,0.0018325957935303,0.0030543261673301
2026-01-05 13:54:06.579,1.7676212465844035e+18,1.232403564453125,-0.0006108652451075,0.0018325957935303,0.0030543261673301
2026-01-05 13:54:06.612,1.7676212466245222e+18,1.272522216796875,0.0,0.0012217304902151,0.0030543261673301
2026-01-05 13:54:06.645,1.767621246664647e+18,1.31264697265625,-0.00030543262255375,0.0006108652451075,0.0030543262837454
2026-01-05 13:54:06.678,1.7676212467047698e+18,1.352769775390625,-0.0006108652451075,0.0,0.0027488936320878
2026-01-05 13:54:06.711,1.7676212467248292e+18,1.3728291015625,-0.0006108652451075,0.0,0.0024434609804302
2026-01-05 13:54:06.744,1.7676212467448883e+18,1.392888427734375,-0.00030543262255375,-0.0006108652451075,0.0024434609804302
2026-01-05 13:54:06.777,1.7676212467850056e+18,1.433005615234375,-0.0006108652451075,-0.0006108652451075,0.0024434609804302
2026-01-05 13:54:06.810,1.7676212468251182e+18,1.4731181640625,-0.0006108652451075,0.0,0.0024434609804302
2026-01-05 13:54:06.843,1.7676212468652383e+18,1.51323828125,-0.0006108581368712107,0.0,0.0024434609804302
2026-01-05 13:54:06.876,1.7676212469053663e+18,1.5533662109375,-0.0006108581368712107,0.0,0.0021380295716861937
2026-01-05 13:54:06.909,1.7676212469254218e+18,1.5734216751386452,-0.0006108581368712107,0.000610862875695437,0.0024434609804302
